team,offense_epa_per_play,defense_epa_per_play,season,team_full_name,Year,Team,GINI,GINI_gini30,GINI_gini40,GINI_gini50
NE,0.05980893,-0.03846815,2018,New England Patriots,2018,New England Patriots,0.3391915603285677,0.3842982504589164,0.4521823216273056,0.5204390007151142
NO,0.101024404,-0.022018,2018,New Orleans Saints,2018,New Orleans Saints,0.4097683603990786,0.4800280516556475,0.5439231782837496,0.5905817423344044
NYG,0.011971043,0.04797485,2018,New York Giants,2018,New York Giants,0.5222750463148517,0.5883885442436908,0.618548606911144,0.6413422757756582
NYJ,-0.102356225,-0.013144577,2018,New York Jets,2018,New York Jets,0.3682661645667667,0.4979061597168939,0.561321185023529,0.6356173890723256
PHI,0.017055377,0.009534106,2018,Philadelphia Eagles,2018,Philadelphia Eagles,0.2812187409135114,0.4112721359783231,0.4949607332211138,0.5581713493969092
PIT,0.040744595,-0.0074220495,2018,Pittsburgh Steelers,2018,Pittsburgh Steelers,0.421284485562208,0.4976317391369025,0.5487677308338894,0.5802628681563506
SEA,0.049889166,-0.01157783,2018,Seattle Seahawks,2018,Seattle Seahawks,0.4717004001716751,0.544096302034332,0.5878637525147086,0.6183386338571231
TB,0.014564061,0.074631706,2018,Tampa Bay Buccaneers,2018,Tampa Bay Buccaneers,0.3548541340287527,0.4893589039358018,0.5630573684980368,0.6213215345944066
TEN,-0.022490133,-0.021593638,2018,Tennessee Titans,2018,Tennessee Titans,0.2949302650052151,0.3930577852401384,0.4737356345871553,0.5439864609945738
WAS,-0.058872346,0.008042487,2018,Washington Commanders,2018,Washington Commanders,0.4345708885391675,0.5312674208721717,0.5873025968567567,0.6579842007950287
ARI,-0.023577236,0.042782597,2019,Arizona Cardinals,2019,Arizona Cardinals,0.4185739729644784,0.520642393188777,0.5708852661449455,0.6253416933378173
ATL,-0.008716797,0.004228406,2019,Atlanta Falcons,2019,Atlanta Falcons,0.3835397285882193,0.5030433748878805,0.5616184648935608,0.6207663222758598
BAL,0.12762614,-0.05958777,2019,Baltimore Ravens,2019,Baltimore Ravens,0.3488282698468322,0.4509363503867974,0.5223389224170182,0.5702239985405005
BUF,-0.03972182,-0.09284691,2019,Buffalo Bills,2019,Buffalo Bills,0.25724773149179,0.3401328635986275,0.4422481417360282,0.5055486120679816
CAR,-0.08423176,0.03318371,2019,Carolina Panthers,2019,Carolina Panthers,0.3325552285214334,0.4313836862251003,0.5029978939161287,0.5599816003192325
CHI,-0.0796662,-0.06527873,2019,Chicago Bears,2019,Chicago Bears,0.4037838518760122,0.52396133568649,0.578996705286386,0.6253079216551833
CIN,-0.068104066,0.055718217,2019,Cincinnati Bengals,2019,Cincinnati Bengals,0.3409604326135635,0.4738150021106375,0.5455516858912138,0.6126308974136823
CLE,-0.04282056,0.0026154644,2019,Cleveland Browns,2019,Cleveland Browns,0.3659191175110328,0.4972820607423658,0.5693344434901166,0.6230218068284088
DAL,0.05712612,-0.035381567,2019,Dallas Cowboys,2019,Dallas Cowboys,0.3735414626616343,0.4774217855218062,0.544359546834244,0.6076430913784872
DEN,-0.050155226,-0.021861833,2019,Denver Broncos,2019,Denver Broncos,0.5273904130941929,0.5890485001685106,0.6136933725535112,0.6499268156724647
DET,-0.040347222,0.023018535,2019,Detroit Lions,2019,Detroit Lions,0.4144744488453076,0.5025260338384688,0.5582982140906436,0.6276256846201962
GB,0.028744936,-0.01008748,2019,Green Bay Packers,2019,Green Bay Packers,0.4089868952787732,0.5159455268424,0.5827514366250443,0.6165755867238046
HOU,0.019457784,0.03647771,2019,Houston Texans,2019,Houston Texans,0.3304094127318339,0.4469403218346298,0.5189608258682171,0.5654792603570892
IND,-0.026835015,-0.014831108,2019,Indianapolis Colts,2019,Indianapolis Colts,0.3501595737625552,0.4728065592483336,0.5421631113122284,0.5989282836160437
JAX,-0.04593591,0.036399666,2019,Jacksonville Jaguars,2019,Jacksonville Jaguars,0.4641323930201176,0.5622884900315527,0.609286976529553,0.6639219503807395
KC,0.1157417,-0.020798244,2019,Kansas City Chiefs,2019,Kansas City Chiefs,0.3446477988037217,0.4115679815447282,0.483205557068748,0.5362272665196132
LAC,0.0037464045,0.015132641,2019,Los Angeles Chargers,2019,Los Angeles Chargers,0.4459638785624543,0.5475148380617021,0.6025139403729519,0.6346928895418604
LV,-0.010606274,0.086289905,2019,Las Vegas Raiders,2019,Las Vegas Raiders,0.4347156305531126,0.5235730109086602,0.5748217054300715,0.6321956655718189
MIA,-0.07243531,0.09040737,2019,Miami Dolphins,2019,Miami Dolphins,0.434016564675185,0.4889800615882148,0.5251353150165264,0.5921628754930556
MIN,0.004868359,-0.06816242,2019,Minnesota Vikings,2019,Minnesota Vikings,0.4077634903748885,0.5381424770152554,0.5999957110794142,0.6447815129399426
NE,-0.016987177,-0.1775766,2019,New England Patriots,2019,New England Patriots,0.3426648212263167,0.4099482339504591,0.4887106318821027,0.5386418970089876
NO,0.039334126,-0.052357763,2019,New Orleans Saints,2019,New Orleans Saints,0.390835036103693,0.4556363760253238,0.5227566276499577,0.5807383162101891
